Cellname	Cellcycle
GaseE753223	Mid-S
GaseE753224	Early-S
GaseE753225	Late-S/G2
GaseE753226	Mid-S
GaseE753227	Mid-S
GaseE753228	Late-S/G2
GaseE753229	Mid-S
GaseE753230	Late-S/G2
GaseE753231	Early-S
GaseE753232	Late-S/G2
GaseE753233	Mid-S
GaseE753234	Early-S
GaseE753235	Mid-S
GaseE753236	Late-S/G2
GaseE753237	Mid-S
GaseE753238	Late-S/G2
GaseE753239	Late-S/G2
GaseE753240	Mid-S
GaseE753242	Late-S/G2
GaseE753243	Late-S/G2
GaseE753244	Early-S
GaseE753245	G1
GaseE753246	Mid-S
GaseE753247	Mid-S
GaseE753248	Mid-S
GaseE753250	Mid-S
GaseE753251	Late-S/G2
GaseE753252	Mid-S
GaseE753253	Late-S/G2
GaseE753254	Early-S
GaseE753255	Late-S/G2
GaseE753256	Mid-S
GaseE753258	Mid-S
GaseE753259	Late-S/G2
GaseE753260	G1
GaseE753261	Early-S
GaseE753262	Mid-S
GaseE753263	Mid-S
GaseE753264	Late-S/G2
GaseE753265	G1
GaseE753266	G1
GaseE753267	Mid-S
GaseE753268	Early-S
GaseE753269	Late-S/G2
GaseE753270	Late-S/G2
GaseE753271	Mid-S
GaseE753272	Mid-S
GaseE753274	Late-S/G2
GaseE753275	Early-S
GaseE753276	Late-S/G2
GaseE753277	Late-S/G2
GaseE753278	Late-S/G2
GaseE753279	Late-S/G2
GaseE753280	Late-S/G2
GaseE753281	Early-S
GaseE753282	Mid-S
GaseE753283	Late-S/G2
GaseE753284	Mid-S
GaseE753287	G1
GaseE803001	Early-S
GaseE803002	G1
GaseE803003	Late-S/G2
GaseE803004	Mid-S
GaseE803005	G1
GaseE803006	Early-S
GaseE803007	G1
GaseE803008	Mid-S
GaseE803009	Mid-S
GaseE803010	Late-S/G2
GaseE803011	Mid-S
GaseE803012	Late-S/G2
GaseE803013	Late-S/G2
GaseE803014	Late-S/G2
GaseE803015	G1
GaseE803016	Mid-S
GaseE803017	G1
GaseE803018	Early-S
GaseE803019	Late-S/G2
GaseE803020	Late-S/G2
GaseE803021	G1
GaseE803023	Early-S
GaseE803024	Mid-S
GaseE803025	Mid-S
GaseE803026	G1
GaseE803027	Late-S/G2
GaseE803028	Late-S/G2
GaseE803029	Late-S/G2
GaseE803030	Late-S/G2
GaseE803031	Late-S/G2
GaseE803032	Mid-S
GaseE803033	Late-S/G2
GaseE803034	Late-S/G2
GaseE803035	G1
GaseE803036	Late-S/G2
GaseE803037	Late-S/G2
GaseE803038	Late-S/G2
GaseE803039	Mid-S
GaseE803040	Mid-S
GaseE803041	Mid-S
GaseE803042	Early-S
GaseE803043	Early-S
GaseE803044	Mid-S
GaseE803045	Late-S/G2
GaseE803046	Early-S
GaseE803047	Mid-S
GaseE803048	G1
GaseE803049	Early-S
GaseE803050	G1
GaseE803051	Late-S/G2
GaseE803052	Early-S
GaseE803053	G1
GaseE803054	Mid-S
GaseE803055	Late-S/G2
GaseE803056	Mid-S
GaseE803057	Late-S/G2
GaseE803058	Late-S/G2
GaseE803059	Mid-S
GaseE803060	Early-S
GaseE803061	Mid-S
GaseE803063	G1
GaseE803064	Mid-S
GaseE803065	Early-S
GaseE803066	G1
GaseE803067	Late-S/G2
GaseE803068	Mid-S
GaseE803069	Late-S/G2
GaseE803070	G1
GaseE803071	Late-S/G2
GaseE803072	Mid-S
GaseE803073	Late-S/G2
GaseE803074	Early-S
GaseE803075	Mid-S
GaseE803076	Late-S/G2
GaseE803077	Mid-S
GaseE803078	Mid-S
GaseE803079	Late-S/G2
GaseE803080	Late-S/G2
GaseE803081	Late-S/G2
GaseE803082	Early-S
GaseE803083	Mid-S
GaseE803084	Late-S/G2
GaseE803085	Mid-S
GaseE803086	G1
GaseE803087	Mid-S
GaseE803089	Early-S
GaseE803090	Late-S/G2
GaseE803091	G1
GaseE803092	Late-S/G2
GaseE803093	Late-S/G2
GaseE803094	Mid-S
GaseE804001	G1
GaseE804002	G1
GaseE804003	Mid-S
GaseE804004	Late-S/G2
GaseE804005	Late-S/G2
GaseE804006	Mid-S
GaseE804007	G1
GaseE804008	Early-S
GaseE804009	Late-S/G2
GaseE804010	G1
GaseE804011	G1
GaseE804012	G1
GaseE804013	Late-S/G2
GaseE804014	Early-S
GaseE804016	Mid-S
GaseE804017	Late-S/G2
GaseE804018	G1
GaseE804019	Late-S/G2
GaseE804020	Early-S
GaseE804021	Late-S/G2
GaseE804022	G1
GaseE804023	Early-S
GaseE804024	Early-S
GaseE804025	Late-S/G2
GaseE804026	Late-S/G2
GaseE804027	Mid-S
GaseE804028	Early-S
GaseE804029	Early-S
GaseE804030	G1
GaseE804031	Late-S/G2
GaseE804033	G1
GaseE804034	Early-S
GaseE804035	Mid-S
GaseE804036	G1
GaseE804037	Late-S/G2
GaseE804038	Late-S/G2
GaseE804039	G1
GaseE804040	Mid-S
GaseE804041	Mid-S
GaseE804042	Late-S/G2
GaseE804043	G1
GaseE804044	Mid-S
GaseE804045	Mid-S
GaseE804046	Mid-S
GaseE804047	Early-S
GaseE804048	Mid-S
GaseE804049	Late-S/G2
GaseE804050	Late-S/G2
GaseE804051	Late-S/G2
GaseE804052	G1
GaseE804053	Early-S
GaseE804054	Mid-S
GaseE804055	G1
GaseE804056	Late-S/G2
GaseE804057	Mid-S
GaseE804058	Late-S/G2
GaseE804059	Early-S
GaseE804060	Early-S
GaseE804061	Late-S/G2
GaseE804062	G1
GaseE804063	Mid-S
GaseE804064	Early-S
GaseE804065	G1
GaseE804066	Late-S/G2
GaseE804067	G1
GaseE804068	Early-S
GaseE804069	G1
GaseE804070	Mid-S
GaseE804071	Mid-S
GaseE804072	Late-S/G2
GaseE804073	Early-S
GaseE804074	G1
GaseE804075	Late-S/G2
GaseE804076	Late-S/G2
GaseE804077	Late-S/G2
GaseE804078	Mid-S
GaseE804079	Late-S/G2
GaseE804080	Mid-S
GaseE804081	Late-S/G2
GaseE804082	Early-S
GaseE804083	G1
GaseE804084	Mid-S
GaseE804085	Early-S
GaseE804086	Mid-S
GaseE804087	Late-S/G2
GaseE804088	Late-S/G2
GaseE804089	G1
GaseE804090	Late-S/G2
GaseE804091	Late-S/G2
GaseE804092	G1
GaseE804093	G1
GaseE804094	Early-S
GaseE804095	Late-S/G2
GaseE804096	Mid-S
GaseE804097	G1
GaseE804098	Late-S/G2
GaseE804099	Late-S/G2
GaseE804100	Mid-S
GaseE804101	G1
GaseE804102	Mid-S
GaseE804103	Late-S/G2
GaseE804104	G1
GaseE804105	Late-S/G2
GaseE804106	G1
GaseE804107	Late-S/G2
GaseE804108	G1
GaseE804109	Early-S
GaseE804110	Late-S/G2
GaseE804112	G1
GaseE804113	Mid-S
GaseE804114	Late-S/G2
GaseE804115	G1
GaseE804116	Early-S
GaseE804117	Mid-S
GaseE804118	G1
GaseE804119	Mid-S
GaseE804120	Mid-S
GaseE804121	Mid-S
GaseE804122	Late-S/G2
GaseE804123	G1
GaseE804125	G1
GaseE804126	Late-S/G2
GaseE804127	Mid-S
GaseE804128	Early-S
GaseE804129	Late-S/G2
GaseE804130	Late-S/G2
GaseE804131	Mid-S
GaseE804132	Mid-S
GaseE804133	Mid-S
GaseE804134	Mid-S
GaseE804135	G1
GaseE804136	G1
GaseE804137	Late-S/G2
GaseE804138	G1
GaseE804139	Late-S/G2
GaseE804140	G1
GaseE804141	Mid-S
GaseE804142	Mid-S
GaseE804143	G1
GaseE804144	G1
GaseE804145	Early-S
GaseE804146	G1
GaseE804147	Late-S/G2
GaseE804148	Mid-S
GaseE804149	Mid-S
GaseE804150	Late-S/G2
GaseE804151	Mid-S
GaseE804152	Late-S/G2
GaseE804153	Late-S/G2
GaseE804155	Late-S/G2
GaseE804156	Late-S/G2
GaseE804157	Mid-S
GaseE804158	Late-S/G2
GaseE804159	G1
GaseE804160	G1
GaseE804161	Late-S/G2
GaseE804162	Early-S
GaseE804163	Mid-S
GaseE804164	Late-S/G2
GaseE804165	Mid-S
GaseE804166	Early-S
GaseE804167	Late-S/G2
GaseE804168	G1
GaseE804169	Late-S/G2
GaseE804170	Late-S/G2
GaseE804171	Mid-S
GaseE804172	Early-S
GaseE804173	Late-S/G2
GaseE804174	Early-S
GaseE804175	Late-S/G2
GaseE804176	Late-S/G2
GaseE804177	Late-S/G2
GaseE804178	Early-S
GaseE804179	Early-S
GaseE804180	G1
GaseE804181	G1
GaseE804182	Late-S/G2
GaseE804183	Mid-S
GaseE804184	Early-S
GaseE804185	Mid-S
GaseE804186	G1
GaseE804187	Late-S/G2
GaseE804188	Mid-S
GaseE804189	Late-S/G2
GaseE804190	Early-S
GaseE804191	Mid-S
GaseE804192	G1
GaseE804193	Mid-S
GaseE804194	Late-S/G2
GaseE804195	G1
GaseE804196	Late-S/G2
GaseE804197	G1
GaseE804198	Late-S/G2
GaseE804199	Mid-S
GaseE804200	Late-S/G2
GaseE804201	Early-S
GaseE804202	Late-S/G2
GaseE804204	Late-S/G2
GaseE804205	Late-S/G2
GaseE804206	Late-S/G2
GaseE804207	Late-S/G2
GaseE804208	Mid-S
GaseE804209	G1
GaseE804210	Early-S
GaseE804211	Late-S/G2
GaseE804212	G1
GaseE804213	G1
GaseE804214	Mid-S
GaseE804215	Late-S/G2
GaseE804216	Late-S/G2
GaseE804217	Late-S/G2
GaseE804218	G1
GaseE804219	Late-S/G2
GaseE804220	Late-S/G2
GaseE804221	Late-S/G2
GaseE804222	Mid-S
GaseE804223	G1
GaseE804224	Early-S
GaseE804225	Late-S/G2
GaseE804226	Early-S
GaseE804228	Late-S/G2
GaseE804229	Late-S/G2
GaseE804230	Late-S/G2
GaseE804231	Mid-S
GaseE804232	Late-S/G2
GaseE804233	Mid-S
GaseE804234	Early-S
GaseE804235	G1
GaseE804236	G1
GaseE804237	Early-S
GaseE804238	Late-S/G2
GaseE804239	G1
GaseE804240	Mid-S
GaseE804242	Mid-S
GaseE804243	Mid-S
GaseE804244	Mid-S
GaseE804245	Late-S/G2
GaseE804246	Mid-S
GaseE804247	Mid-S
GaseE804248	Late-S/G2
GaseE804249	Late-S/G2
GaseE804250	Late-S/G2
GaseE804251	G1
GaseE804252	Late-S/G2
GaseE804253	Mid-S
GaseE804254	Mid-S
GaseE804255	Late-S/G2
GaseE804256	Late-S/G2
GaseE804258	Late-S/G2
GaseE804260	Late-S/G2
GaseE804261	Mid-S
GaseE804262	G1
GaseE804263	Early-S
GaseE804264	Mid-S
GaseE804265	Early-S
GaseE804266	G1
GaseE804267	Mid-S
GaseE804268	Mid-S
GaseE804269	Late-S/G2
GaseE804270	Late-S/G2
GaseE804271	Late-S/G2
GaseE804272	Early-S
GaseE804273	Late-S/G2
GaseE804274	Late-S/G2
GaseE804275	G1
GaseE804276	Early-S
GaseE804277	Mid-S
GaseE804278	Early-S
GaseE804279	Late-S/G2
GaseE804280	Mid-S
GaseE804281	G1
GaseE804282	Early-S
GaseE804283	G1
GaseE804284	Early-S
GaseE804287	Mid-S
GaseE804288	G1
GaseE804289	Mid-S
GaseE804290	Mid-S
GaseE804291	Early-S
GaseE804292	G1
GaseE804293	Late-S/G2
GaseE804294	G1
GaseE804295	Late-S/G2
GaseE804296	G1
GaseE804297	Late-S/G2
GaseE804298	G1
GaseE804299	G1
GaseE804300	Late-S/G2
GaseE804301	Early-S
GaseE804302	G1
GaseE804303	G1
GaseE804304	G1
GaseE804305	Late-S/G2
GaseE804306	Late-S/G2
GaseE804307	G1
GaseE804308	Mid-S
GaseE804309	Early-S
GaseE804310	Late-S/G2
GaseE804311	Late-S/G2
GaseE804312	Mid-S
GaseE804314	Mid-S
GaseE804315	Late-S/G2
GaseE804316	Late-S/G2
GaseE804317	Late-S/G2
GaseE804318	Early-S
GaseE804319	G1
GaseE804320	Mid-S
GaseE804321	Mid-S
GaseE804322	Late-S/G2
GaseE804323	Early-S
GaseE804324	Late-S/G2
GaseE804325	Mid-S
GaseE804326	G1
GaseE804329	G1
GaseE804330	Late-S/G2
GaseE804331	Late-S/G2
GaseE804332	Mid-S
GaseE804333	Mid-S
GaseE804334	Mid-S
GaseE804335	Mid-S
GaseE804336	Mid-S
GaseE804337	Late-S/G2
GaseE804338	G1
GaseE804339	Late-S/G2
GaseE804340	Mid-S
GaseE804341	Late-S/G2
GaseE804342	G1
GaseE804343	Early-S
GaseE804344	Late-S/G2
GaseE804345	G1
GaseE804346	Early-S
GaseE804347	Late-S/G2
GaseE804348	Mid-S
GaseE804349	Mid-S
GaseE804350	Late-S/G2
GaseE804351	Mid-S
GaseE804352	Mid-S
GaseE804353	Mid-S
GaseE804354	Mid-S
GaseE804355	Early-S
GaseE804356	Mid-S
GaseE804357	Mid-S
GaseE804358	Late-S/G2
GaseE804359	G1
GaseE804360	Mid-S
GaseE804361	Late-S/G2
GaseE804362	Mid-S
GaseE804363	G1
GaseE804364	Early-S
GaseE804366	Mid-S
GaseE804367	Late-S/G2
GaseE804368	Mid-S
GaseE804369	Mid-S
GaseE804370	Mid-S
GaseE804371	Late-S/G2
GaseE804373	Mid-S
GaseE804374	Late-S/G2
GaseE804375	Late-S/G2
GaseE804376	Late-S/G2
GaseE804377	Early-S
GaseE804378	Mid-S
GaseE804379	Mid-S
GaseE804380	Late-S/G2
GaseE804381	Early-S
GaseE804382	Mid-S
GaseE804383	G1
GaseE804384	Late-S/G2
GasfE703001	G1
GasfE703002	Late-S/G2
GasfE703003	Late-S/G2
GasfE703004	G1
GasfE703005	G1
GasfE703006	Late-S/G2
GasfE703007	Early-S
GasfE703008	Mid-S
GasfE703009	Late-S/G2
GasfE703010	G1
GasfE703011	Late-S/G2
GasfE703012	Mid-S
GasfE703013	Late-S/G2
GasfE703014	Late-S/G2
GasfE703015	Mid-S
GasfE703017	Early-S
GasfE703018	Mid-S
GasfE703019	Late-S/G2
GasfE703020	G1
GasfE703021	Late-S/G2
GasfE703022	Early-S
GasfE703023	Early-S
GasfE703024	Late-S/G2
GasfE703025	Late-S/G2
GasfE703026	Mid-S
GasfE703027	Late-S/G2
GasfE703028	Late-S/G2
GasfE703029	Late-S/G2
GasfE703030	G1
GasfE703031	Mid-S
GasfE703032	Late-S/G2
GasfE703033	Early-S
GasfE703034	Late-S/G2
GasfE703035	G1
GasfE703036	G1
GasfE703037	Early-S
GasfE703038	Early-S
GasfE703039	Mid-S
GasfE703040	Mid-S
GasfE703041	Late-S/G2
GasfE703042	Late-S/G2
GasfE703043	Early-S
GasfE703044	Early-S
GasfE703045	Mid-S
GasfE703046	Late-S/G2
GasfE703047	Early-S
GasfE703048	Late-S/G2
GasfE703049	Mid-S
GasfE703050	Mid-S
GasfE703051	Late-S/G2
GasfE703052	Late-S/G2
GasfE703053	Late-S/G2
GasfE703054	G1
GasfE703055	Late-S/G2
GasfE703056	Late-S/G2
GasfE703057	Mid-S
GasfE703058	Late-S/G2
GasfE703059	G1
GasfE703060	G1
GasfE703061	Late-S/G2
GasfE703062	Late-S/G2
GasfE703063	Late-S/G2
GasfE703064	Late-S/G2
GasfE703065	Late-S/G2
GasfE703066	Late-S/G2
GasfE703067	G1
GasfE703068	Mid-S
GasfE703069	Late-S/G2
GasfE703070	Late-S/G2
GasfE703071	G1
GasfE703072	G1
GasfE703073	Late-S/G2
GasfE703074	Mid-S
GasfE703075	Late-S/G2
GasfE703076	Mid-S
GasfE703077	Late-S/G2
GasfE703078	Mid-S
GasfE703079	Late-S/G2
GasfE703080	G1
GasfE703081	Mid-S
GasfE703082	Late-S/G2
GasfE703083	Mid-S
GasfE703084	Late-S/G2
GasfE703085	Mid-S
GasfE703086	Late-S/G2
GasfE703087	Early-S
GasfE703089	Mid-S
GasfE703090	Late-S/G2
GasfE703091	Late-S/G2
GasfE703092	Late-S/G2
GasfE703093	Mid-S
GasfE703094	Late-S/G2
GasfE703095	Late-S/G2
GasfE703096	Early-S
GasfE703097	Mid-S
GasfE703098	Mid-S
GasfE703099	G1
GasfE703100	G1
GasfE703101	Late-S/G2
GasfE703102	G1
GasfE703103	G1
GasfE703104	G1
GasfE703105	Late-S/G2
GasfE703106	Late-S/G2
GasfE703107	Late-S/G2
GasfE703110	Mid-S
GasfE703111	Late-S/G2
GasfE703112	Late-S/G2
GasfE703113	Mid-S
GasfE703114	Late-S/G2
GasfE703115	Mid-S
GasfE703116	Late-S/G2
GasfE703117	Early-S
GasfE703118	Mid-S
GasfE703119	Late-S/G2
GasfE703120	Mid-S
GasfE703121	Late-S/G2
GasfE703122	G1
GasfE703123	Mid-S
GasfE703124	G1
GasfE703125	Mid-S
GasfE703126	Early-S
GasfE703128	Mid-S
GasfE703129	Late-S/G2
GasfE703130	Mid-S
GasfE703131	G1
GasfE703132	Late-S/G2
GasfE703133	Late-S/G2
GasfE703134	Late-S/G2
GasfE703135	G1
GasfE703136	Late-S/G2
GasfE703137	Mid-S
GasfE703138	Early-S
GasfE703139	Late-S/G2
GasfE703140	Late-S/G2
GasfE703141	Early-S
GasfE703142	Late-S/G2
GasfE703143	Mid-S
GasfE703144	Late-S/G2
GasfE703145	Late-S/G2
GasfE703146	G1
GasfE703148	Late-S/G2
GasfE703149	Mid-S
GasfE703150	Late-S/G2
GasfE703151	Early-S
GasfE703152	Late-S/G2
GasfE703153	Mid-S
GasfE703154	G1
GasfE703155	Late-S/G2
GasfE703156	G1
GasfE703157	Late-S/G2
GasfE703158	Mid-S
GasfE703159	Late-S/G2
GasfE703160	Late-S/G2
GasfE703161	Late-S/G2
GasfE703162	Late-S/G2
GasfE703163	Early-S
GasfE703164	Mid-S
GasfE703165	Late-S/G2
GasfE703166	Mid-S
GasfE703167	Mid-S
GasfE703168	Mid-S
GasfE703169	Mid-S
GasfE703170	Mid-S
GasfE703171	Mid-S
GasfE703172	Mid-S
GasfE703173	Early-S
GasfE703174	G1
GasfE703175	Late-S/G2
GasfE703176	Late-S/G2
GasfE703177	Late-S/G2
GasfE703178	Late-S/G2
GasfE703180	Mid-S
GasfE703181	Late-S/G2
GasfE703182	Late-S/G2
GasfE703184	Late-S/G2
GasfE703185	G1
GasfE703186	Mid-S
GasfE703187	Mid-S
GasfE703188	Mid-S
GasfE703189	Mid-S
GasfE703190	G1
GasfE703191	Early-S
GasfE703192	Early-S
GasfE803001	Mid-S
GasfE803002	Mid-S
GasfE803003	Late-S/G2
GasfE803004	Late-S/G2
GasfE803005	Late-S/G2
GasfE803006	G1
GasfE803007	Late-S/G2
GasfE803008	Mid-S
GasfE803009	Early-S
GasfE803010	Late-S/G2
GasfE803011	Late-S/G2
GasfE803012	Late-S/G2
GasfE803013	Late-S/G2
GasfE803014	G1
GasfE803015	Mid-S
GasfE803016	G1
GasfE803017	Late-S/G2
GasfE803018	Late-S/G2
GasfE803019	Mid-S
GasfE803021	Mid-S
GasfE803022	Mid-S
GasfE803023	G1
GasfE803024	Mid-S
GasfE803025	Early-S
GasfE803026	Late-S/G2
GasfE803027	Late-S/G2
GasfE803028	Early-S
GasfE803029	Mid-S
GasfE803030	Mid-S
GasfE803031	Early-S
GasfE803032	G1
GasfE803033	Early-S
GasfE803034	Late-S/G2
GasfE803035	Late-S/G2
GasfE803036	Mid-S
GasfE803037	Late-S/G2
GasfE803038	Late-S/G2
GasfE803039	G1
GasfE803040	Late-S/G2
GasfE803041	Late-S/G2
GasfE803042	Mid-S
GasfE803043	Mid-S
GasfE803044	Late-S/G2
GasfE803045	G1
GasfE803046	Early-S
GasfE803047	Late-S/G2
GasfE803048	Mid-S
GasfE803050	G1
GasfE803051	G1
GasfE803052	Early-S
GasfE803053	Late-S/G2
GasfE803054	Mid-S
GasfE803055	Mid-S
GasfE803056	G1
GasfE803057	Mid-S
GasfE803058	Late-S/G2
GasfE803059	Mid-S
GasfE803060	Late-S/G2
GasfE803061	Mid-S
GasfE803062	Early-S
GasfE803063	Mid-S
GasfE803064	Mid-S
GasfE803066	Late-S/G2
GasfE803069	Early-S
GasfE803070	Mid-S
GasfE803071	Late-S/G2
GasfE803072	G1
GasfE803073	Early-S
GasfE803074	Late-S/G2
GasfE803075	Mid-S
GasfE803076	Mid-S
GasfE803077	Late-S/G2
GasfE803078	Mid-S
GasfE803080	Late-S/G2
GasfE803081	Mid-S
GasfE803082	Mid-S
GasfE803083	G1
GasfE803084	Late-S/G2
GasfE803085	Mid-S
GasfE803086	Early-S
GasfE803087	Early-S
GasfE803088	Early-S
GasfE803090	Mid-S
GasfE803091	Early-S
GasfE803092	Late-S/G2
GasfE803094	Late-S/G2
GasfE803095	Mid-S
GasfE803096	Mid-S
OrgaE952002	Late-S/G2
OrgaE952003	Late-S/G2
OrgaE952004	Late-S/G2
OrgaE952005	G1
OrgaE952006	Late-S/G2
OrgaE952007	Late-S/G2
OrgaE952008	G1
OrgaE952009	G1
OrgaE952010	G1
OrgaE952011	Early-S
OrgaE952013	Late-S/G2
OrgaE952014	Late-S/G2
OrgaE952015	Late-S/G2
OrgaE952016	Late-S/G2
OrgaE952017	Mid-S
OrgaE952018	Mid-S
OrgaE952020	G1
OrgaE952021	Late-S/G2
OrgaE952023	G1
OrgaE952024	G1
OrgaE952025	Late-S/G2
OrgaE952026	G1
OrgaE952027	Late-S/G2
OrgaE952028	Late-S/G2
OrgaE952029	G1
OrgaE952030	Late-S/G2
OrgaE952031	Mid-S
OrgaE952032	Late-S/G2
OrgaE952033	G1
OrgaE952034	Late-S/G2
OrgaE952035	G1
OrgaE952036	G1
OrgaE952038	Late-S/G2
OrgaE952039	G1
OrgaE952040	Late-S/G2
OrgaE952042	Late-S/G2
OrgaE952043	G1
OrgaE952044	Late-S/G2
OrgaE952045	Late-S/G2
OrgaE952046	Early-S
OrgaE952048	G1
OrgaE952049	Mid-S
OrgaE952050	Mid-S
OrgaE952051	Late-S/G2
OrgaE952052	Late-S/G2
OrgaE952054	Mid-S
OrgaE952055	G1
OrgaE952056	G1
OrgaE952057	G1
OrgaE952058	Late-S/G2
OrgaE952059	Mid-S
OrgaE952060	Mid-S
OrgaE952061	G1
OrgaE952062	G1
OrgaE952064	G1
OrgaE952065	Late-S/G2
OrgaE952066	G1
OrgaE952067	G1
OrgaE952069	Early-S
OrgaE952070	Mid-S
OrgaE952071	G1
OrgaE952073	G1
OrgaE952074	G1
OrgaE952075	Mid-S
OrgaE952076	Late-S/G2
OrgaE952077	Late-S/G2
OrgaE952078	Late-S/G2
OrgaE952080	Late-S/G2
OrgaE952081	G1
OrgaE952082	Late-S/G2
OrgaE952083	Late-S/G2
OrgaE952084	Early-S
OrgaE952085	Mid-S
OrgaE952086	G1
OrgaE952087	G1
OrgaE952088	G1
OrgaE952089	Mid-S
OrgaE952090	Late-S/G2
OrgaE952091	G1
OrgaE952092	G1
OrgaE952093	Late-S/G2
OrgaE952094	G1
OrgaE952095	Late-S/G2
OrgaE952096	Late-S/G2
OrgaE952098	Late-S/G2
OrgaE952100	Late-S/G2
OrgaE952101	G1
OrgaE952102	Late-S/G2
OrgaE952103	Late-S/G2
OrgaE952104	G1
OrgaE952105	G1
OrgaE952106	Early-S
OrgaE952107	Late-S/G2
OrgaE952108	Late-S/G2
OrgaE952109	Mid-S
OrgaE952110	Mid-S
OrgaE952111	Late-S/G2
OrgaE952112	Late-S/G2
OrgaE952113	Late-S/G2
OrgaE952114	Late-S/G2
OrgaE952116	Late-S/G2
OrgaE952117	Late-S/G2
OrgaE952118	Late-S/G2
OrgaE952119	G1
OrgaE952121	Mid-S
OrgaE952122	G1
OrgaE952123	Late-S/G2
OrgaE952124	Late-S/G2
OrgaE952125	G1
OrgaE952126	Early-S
OrgaE952127	G1
OrgaE952128	Late-S/G2
OrgaE952130	Late-S/G2
OrgaE952131	Late-S/G2
OrgaE952132	G1
OrgaE952133	Mid-S
OrgaE952134	G1
OrgaE952135	Late-S/G2
OrgaE952136	G1
OrgaE952137	Mid-S
OrgaE952138	G1
OrgaE952139	Late-S/G2
OrgaE952140	Late-S/G2
OrgaE952143	G1
OrgaE952144	G1
OrgaE952145	Late-S/G2
OrgaE952146	G1
OrgaE952148	G1
OrgaE952149	Late-S/G2
OrgaE952150	Mid-S
OrgaE952151	Mid-S
OrgaE952152	Late-S/G2
OrgaE952170	Late-S/G2
OrgaE952171	Late-S/G2
OrgaE952172	Late-S/G2
OrgaE952173	Mid-S
OrgaE952174	Late-S/G2
OrgaE952175	G1
OrgaE952177	Late-S/G2
OrgaE952178	G1
OrgaE952179	G1
OrgaE952180	Early-S
OrgaE952182	G1
OrgaE952183	G1
OrgaE952184	G1
OrgaE952185	Mid-S
OrgaE952186	Late-S/G2
OrgaE952187	G1
OrgaE952188	Late-S/G2
OrgaE952189	Mid-S
OrgaE952190	Mid-S
OrgaE952191	G1
OrgaE952192	Mid-S
OrgaE952193	Early-S
OrgaE952194	Mid-S
OrgaE952195	Late-S/G2
OrgaE952196	Late-S/G2
OrgaE952197	Late-S/G2
OrgaE952198	Mid-S
OrgaE952199	G1
OrgaE952200	Mid-S
OrgaE952201	Late-S/G2
OrgaE952202	G1
OrgaE952203	Late-S/G2
OrgaE952204	Late-S/G2
OrgaE952205	Mid-S
OrgaE952206	Late-S/G2
OrgaE952207	G1
OrgaE952208	Late-S/G2
OrgaE952209	Early-S
OrgaE952210	G1
OrgaE952211	Mid-S
OrgaE952212	Late-S/G2
OrgaE952213	G1
OrgaE952214	Late-S/G2
OrgaE952215	Mid-S
OrgaE952217	Early-S
OrgaE952218	Late-S/G2
OrgaE952219	G1
OrgaE952220	Early-S
OrgaE952221	Late-S/G2
OrgaE952222	Mid-S
OrgaE952223	Late-S/G2
OrgaE952224	Late-S/G2
OrgaE952225	G1
OrgaE952226	Mid-S
OrgaE952227	Late-S/G2
OrgaE952228	G1
OrgaE952229	Late-S/G2
OrgaE952230	Early-S
OrgaE952231	G1
OrgaE952233	Mid-S
OrgaE952234	Mid-S
OrgaE952235	Late-S/G2
OrgaE952236	Mid-S
OrgaE952237	Late-S/G2
OrgaE952238	Early-S
OrgaE952239	Late-S/G2
OrgaE952240	Early-S
OrgaE952242	Late-S/G2
OrgaE952243	Late-S/G2
OrgaE952244	Late-S/G2
OrgaE952246	Late-S/G2
OrgaE952247	G1
OrgaE952248	Late-S/G2
OrgaE952249	Late-S/G2
OrgaE952250	G1
OrgaE952252	Late-S/G2
OrgaE952253	G1
OrgaE952256	Late-S/G2
OrgaE952258	Late-S/G2
OrgaE952259	Late-S/G2
OrgaE952260	G1
OrgaE952261	Late-S/G2
OrgaE952262	Mid-S
OrgaE952263	Early-S
OrgaE952264	G1
OrgaE952265	Late-S/G2
OrgaE952266	Late-S/G2
OrgaE952267	G1
OrgaE952270	Late-S/G2
OrgaE952271	G1
OrgaE952272	Mid-S
OrgaE952273	Mid-S
OrgaE952274	G1
OrgaE952275	Mid-S
OrgaE952276	Late-S/G2
OrgaE952277	Late-S/G2
OrgaE952278	Late-S/G2
OrgaE952279	G1
OrgaE952281	G1
OrgaE952282	G1
OrgaE952283	Late-S/G2
OrgaE952284	Mid-S
OrgaE952285	Mid-S
OrgaE952287	G1
OrgaE952288	Mid-S
OrgaE952289	Late-S/G2
OrgaE952290	G1
OrgaE952291	G1
OrgaE952292	Late-S/G2
OrgaE952293	Mid-S
OrgaE952294	Mid-S
OrgaE952295	G1
OrgaE952296	Late-S/G2
OrgaE952297	Late-S/G2
OrgaE952298	G1
OrgaE952299	Late-S/G2
OrgaE952300	Late-S/G2
OrgaE952302	Mid-S
OrgaE952303	Late-S/G2
OrgaE952304	G1
OrgaE952305	Early-S
OrgaE952306	G1
OrgaE952307	G1
OrgaE952308	Late-S/G2
OrgaE952309	G1
OrgaE952310	Late-S/G2
OrgaE952312	Late-S/G2
OrgaE952314	G1
OrgaE952315	Early-S
OrgaE952316	G1
OrgaE952317	Late-S/G2
OrgaE952318	Late-S/G2
OrgaE952319	Late-S/G2
